title,main_genre,belongs_to_collection,budget,revenue,production_companies,vote_average,popularity,runtime,cast_size,crew_size,cast_tr,director_tr,production_company_tr,English,title_length,rel_year,rel_month
A Perfect Murder,Crime,False,60.0,128.038368,2.0,6.3,9.430812,107.0,11,86,2252.110324,631.141364,534.522527,True,14,1998,June
Six Days Seven Nights,Action,False,70.0,164.0,4.0,5.6,18.324219,98.0,62,33,4841.471657,1114.479281,416.501352,True,18,1998,June
Can't Hardly Wait,Comedy,False,10.0,25.605015,1.0,6.1,6.4269370000000015,100.0,22,8,143.08081500000003,0.0,2996.871468,True,15,1998,June
Mulan,Animation,True,90.0,304.320254,2.0,7.6,21.180857,88.0,26,27,1986.903187,0.0,4318.682201,True,5,1998,June
The X Files,Mystery,True,66.0,189.198313,2.0,6.6,12.311615,121.0,46,17,24.227330999999992,2.8502630000000124,10601.176307,True,9,1998,June
Doctor Dolittle,Comedy,True,71.0,294.456605,3.0,5.4,9.439079,85.0,16,11,2225.6500100000003,41.23079899999999,10790.37462,True,14,1998,June
Out of Sight,Romance,False,48.0,77.745568,2.0,6.5,7.349811999999999,123.0,16,12,616.730709,0.0,13223.738129,True,10,1998,June
Armageddon,Action,False,140.0,553.799566,3.0,6.5,13.235112,151.0,67,108,1961.266013,476.4696449999998,224.01223400000003,True,10,1998,July
Pi,Mystery,False,0.06,3.221152,4.0,7.1,10.621362,84.0,13,10,0.0,0.0,0.0,True,2,1998,July
Small Soldiers,Comedy,False,40.0,54.682547,3.0,6.2,10.03936,110.0,23,41,510.037988,294.452951,13301.483697,True,13,1998,July
Lethal Weapon 4,Action,True,140.0,285.444603,3.0,6.3,14.470551,127.0,21,101,4716.867384,1343.134739,1149.894982,True,13,1998,July
There's Something About Mary,Romance,False,23.0,369.884651,1.0,6.5,11.688958,119.0,19,90,931.48445,25.02343400000001,11084.831225,True,25,1998,July
